Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
11,30,RH,38.0,5795,Pave,NA,IR2,Lvl,AllPub,Corner,Gtl,Timber,RRAe,Norm,TwnhsE,2.5Fin,8,5,1975,1954,Gable,CompShg,CemntBd,ImStucc,None,210.20945805103085,Gd,Gd,CBlock,Gd,Po,Mn,Unf,464.6746181005335,Unf,0.16610455429493895,146.1910398961906,611.031762551019,GasA,TA,Y,SBrkr,1106,1771,40,2917,0,0,2,1,3,1,Gd,6,Typ,0,NA,Detchd,,NA,1,978.5592075260427,Fa,TA,Y,159,38,92,0,112,141,NA,NA,NA,424,3,2007,WD,Partial,424029
12,90,RL,80.0,3899,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,PosN,Norm,1Fam,2.5Fin,8,6,1918,2000,Gable,CompShg,CemntBd,ImStucc,BrkFace,35.942898648195005,TA,Gd,CBlock,Gd,TA,No,LwQ,,Unf,31.19999513014149,898.6273870669214,1357.4745885950063,GasA,Ex,Y,SBrkr,1509,753,5,2267,0,0,1,0,4,1,Gd,4,Typ,0,TA,Detchd,1959.0,NA,1,234.76281104582455,Ex,NA,Y,1049,59,0,0,61,0,NA,GdPrv,NA,236,9,2010,VWD,Alloca,387246
13,90,RM,109.0,6558,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,PosN,Norm,1Fam,1.5Fin,7,5,1917,1978,Gable,CompShg,Stone,WdShing,None,32.524463920722376,Gd,TA,BrkTil,Gd,Gd,Mn,GLQ,583.2028678610544,Unf,15.373834757099225,1160.6222519131493,1759.198954531303,GasA,Ex,Y,SBrkr,990,1130,174,2294,1,0,2,1,2,1,TA,6,Maj2,0,Po,CarPort,,Fin,2,294.4072527707236,TA,NA,Y,215,86,118,0,0,0,NA,NA,NA,2656,1,2006,WD,Abnorml,389153
14,50,RL,66.0,5686,Pave,NA,IR1,Low,AllPub,Inside,Gtl,Gilbert,RRAe,Norm,1Fam,SFoyer,5,5,1944,1955,Hip,CompShg,CemntBd,HdBoard,None,4.293357644544273,Gd,Gd,PConc,TA,Ex,No,BLQ,2500.0,Unf,4.263844284913658,1472.9378211710498,3977.201665455964,GasA,Gd,Y,SBrkr,628,445,18,1091,1,0,1,0,3,1,Ex,3,Typ,1,Po,Attchd,1941.0,NA,2,221.94963838758858,NA,TA,Y,305,159,20,16,346,0,NA,NA,NA,3191,11,2008,WD,Partial,344448
15,30,RL,72.0,1950,Pave,NA,IR1,Lvl,AllPub,Inside,Mod,OldTown,Feedr,Norm,1Fam,1.5Fin,8,1,1995,1985,Gable,CompShg,Plywood,CemntBd,Stone,26.31613178007987,TA,TA,CBlock,TA,Gd,Mn,NA,978.8716203561601,Unf,24.541272411390207,157.5988951915188,1161.0117879590691,Floor,Ex,Y,SBrkr,1234,394,0,1628,0,0,2,0,2,1,Gd,5,Typ,0,Fa,Basment,,RFn,2,122.77742568805496,Gd,NA,Y,0,456,91,0,0,0,NA,NA,NA,190,7,2008,CWD,Abnorml,344329
16,85,RL,44.0,2678,Pave,Grvl,IR1,Lvl,AllPub,Inside,Gtl,IDOTRR,RRAe,Norm,1Fam,SFoyer,6,7,1964,1961,Gable,CompShg,BrkComm,ImStucc,None,49.870586077586374,Gd,TA,PConc,TA,Gd,Mn,GLQ,819.5493964239944,Unf,4.267290460148119,433.9985640848241,1257.8152509689667,GasA,Gd,Y,FuseF,1479,683,164,2326,0,0,1,0,8,1,TA,6,Typ,0,Gd,Basment,1981.0,NA,2,193.9692836802756,TA,Ex,Y,1500,41,63,20,71,0,NA,MnPrv,NA,696,11,2009,Con,Normal,374506
17,60,RL,42.0,5925,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Somerst,RRAn,Norm,Duplex,SLvl,2,6,1895,1997,Hip,CompShg,VinylSd,Stone,Stone,7.889344807692608,Gd,TA,CBlock,Gd,Gd,Av,Unf,534.5471246837196,Unf,3.049845196942976,130.8131067249989,668.4100766056615,GasA,Gd,Y,SBrkr,558,418,174,1150,0,0,3,1,2,1,Gd,5,Typ,0,TA,BuiltIn,1913.0,Unf,0,478.633152895445,Fa,TA,Y,540,97,173,0,0,0,NA,NA,NA,206,12,2010,VWD,Abnorml,238071
18,90,RL,64.0,10413,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,1Fam,2.5Fin,8,8,1882,1964,Flat,CompShg,Stucco,Stucco,BrkFace,18.170298837595062,TA,TA,BrkTil,Ex,TA,Mn,BLQ,1828.8035285492997,Unf,4.780288687345894,156.90146729529283,1990.4852845319385,GasA,Ex,Y,SBrkr,996,2000,388,3384,1,0,2,0,3,1,TA,5,Typ,0,Ex,Detchd,1916.0,RFn,1,224.0602978330408,Ex,TA,Y,491,48,141,8,0,0,NA,MnPrv,NA,0,3,2008,VWD,Abnorml,457200
19,160,RL,88.0,6298,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,PosA,Norm,1Fam,2Story,6,5,1897,1979,Gable,CompShg,CemntBd,AsbShng,BrkFace,892.2765677723987,Gd,TA,CBlock,Gd,Gd,Av,Rec,2500.0,Unf,4.797300070727664,153.3563058528255,2658.153605923553,GasA,Gd,Y,SBrkr,1722,1689,0,3411,1,0,1,0,3,1,TA,7,Typ,1,Fa,Attchd,1925.0,Fin,1,83.88826378917018,Po,TA,Y,677,156,56,10,0,0,NA,NA,NA,544,6,2008,CWD,AdjLand,458419
20,85,RL,51.0,2505,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,SFoyer,6,5,1893,1978,Gable,CompShg,HdBoard,Stucco,None,72.76231607490946,Gd,Gd,CBlock,Gd,TA,Mn,Rec,1861.7832607328633,Unf,,891.50995671599,2758.5850743067203,GasA,TA,Y,SBrkr,639,626,0,1265,0,0,2,1,3,1,Gd,6,Typ,2,Gd,Basment,2005.0,Unf,2,149.59000622823268,Ex,Fa,Y,75,58,266,0,30,0,NA,MnPrv,NA,99,4,2007,Con,Family,353005
21,150,RL,39.0,3550,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Veenker,Artery,Norm,1Fam,1Story,6,6,1904,1971,Gable,CompShg,ImStucc,CemntBd,None,90.90021518750865,Gd,Gd,PConc,TA,Gd,Mn,GLQ,972.2420693473838,Unf,0.7852149197092994,331.99466260407854,1305.0219468711716,GasA,Ex,Y,SBrkr,1208,1160,0,2368,1,1,2,0,3,1,TA,5,Typ,0,NA,Detchd,,Fin,0,239.82824843437007,Po,Ex,Y,1080,247,18,15,113,122,NA,NA,NA,190,2,2007,Oth,Family,351210
22,190,RM,96.0,5963,Pave,NA,IR1,HLS,AllPub,Inside,Gtl,Edwards,RRAe,Norm,1Fam,2.5Fin,8,4,1898,1972,Gable,CompShg,BrkFace,Plywood,None,36.72214088328056,Fa,Gd,Slab,Fa,TA,No,BLQ,1025.067367076935,Unf,23.368161236738803,483.4681085361502,1531.9036368498241,GasA,Ex,Y,SBrkr,2031,998,23,3052,0,0,1,0,4,1,Gd,7,Typ,0,Ex,Attchd,1941.0,NA,2,159.61010547372757,Fa,Gd,Y,946,96,41,20,0,225,NA,NA,NA,100,12,2007,Con,Normal,457826
23,80,FV,55.0,3187,Pave,NA,Reg,Lvl,AllPub,CulDSac,Gtl,Edwards,RRAe,Norm,1Fam,2.5Unf,5,2,1996,1957,Gable,CompShg,MetalSd,VinylSd,Stone,8.716617366538838,Gd,Gd,PConc,Gd,TA,Av,Unf,254.74944552557363,Unf,3.680517863857923,172.3468847535823,430.77684814301386,GasA,Gd,Y,FuseA,1516,1383,5,2904,1,0,2,0,3,1,Gd,8,Typ,0,NA,Detchd,1988.0,NA,3,98.41785659773201,Gd,Gd,Y,28,9,35,20,0,253,NA,NA,NA,500,4,2007,Con,AdjLand,387377
24,180,RL,113.0,3347,Pave,NA,IR1,Lvl,AllPub,Inside,Sev,SawyerW,PosA,Norm,TwnhsE,2.5Unf,10,5,1889,1998,Hip,CompShg,WdShing,Wd Sdng,BrkFace,52.738962030022805,Ex,TA,CBlock,Ex,Gd,Gd,BLQ,120.6167782044661,Unf,24.202413184642026,249.50264402483194,394.3218354139401,GasA,Ex,Y,SBrkr,2707,916,0,3623,1,0,1,0,1,1,Gd,7,Min2,2,Gd,NA,1934.0,RFn,2,443.69703918594786,Ex,Po,P,145,159,7,0,0,110,NA,NA,NA,213,1,2007,VWD,Partial,437035
25,20,RL,,3979,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,2.5Unf,4,6,1876,1965,Hip,CompShg,ImStucc,BrkComm,BrkFace,106.79255966327588,Gd,Gd,CBlock,Gd,Gd,Av,NA,212.90023489943647,Unf,,240.3850256768244,459.69705737047116,Grav,Ex,Y,Mix,1400,1516,31,2947,0,0,1,0,4,1,TA,6,Typ,0,Po,Attchd,,Fin,2,288.3086123122156,Fa,Fa,Y,303,81,36,6,108,110,NA,NA,NA,125,8,2006,COD,Partial,352055
26,160,RM,41.0,4294,Pave,NA,Reg,Lvl,AllPub,Inside,Mod,SawyerW,RRAe,Norm,1Fam,1.5Fin,3,6,1896,1964,Hip,Metal,BrkComm,WdShing,None,11.879709771970647,Gd,Gd,Wood,Gd,Gd,Av,LwQ,539.3433026180472,Unf,0.7017767802826418,242.46487471151164,782.5099541098416,GasA,Gd,Y,SBrkr,3077,544,0,3621,0,0,1,0,3,1,TA,7,Typ,1,Gd,CarPort,,RFn,4,176.01457279502952,NA,NA,Y,226,306,0,6,326,188,NA,NA,NA,73,7,2007,ConLI,Alloca,392797
27,180,RL,72.0,4621,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Feedr,Norm,Twnhs,1.5Unf,9,4,1986,1968,Gable,CompShg,MetalSd,Stucco,BrkFace,3.5784425992809306,Gd,Fa,PConc,Gd,Gd,Av,LwQ,136.5620223987014,Unf,,265.2334612180102,455.04749296247564,GasA,Gd,Y,SBrkr,1016,1536,44,2596,0,0,2,0,2,1,TA,7,Typ,1,NA,2Types,,RFn,2,270.09708049687003,Ex,Po,Y,1121,41,80,0,11,118,NA,NA,NA,404,3,2010,Oth,Abnorml,391757
28,20,RL,89.0,2086,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,PosN,Norm,1Fam,2Story,5,5,1910,1995,Gable,CompShg,MetalSd,ImStucc,BrkFace,63.66218899520396,Gd,Fa,BrkTil,Gd,Fa,Mn,Rec,370.88374325251647,Rec,0.1609772822835971,267.6633995258727,638.7081200606729,GasW,Gd,Y,SBrkr,948,990,0,1938,1,0,2,0,2,1,Ex,4,Mod,0,Fa,2Types,1974.0,Unf,2,257.510961413802,Gd,Fa,Y,249,41,0,17,14,142,NA,NA,NA,0,1,2006,ConLD,Family,347354
29,160,RM,85.0,9115,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,RRNn,Norm,1Fam,2Story,6,6,1982,1994,Gable,CompShg,BrkComm,CBlock,Stone,606.4055360216188,Gd,Fa,PConc,Ex,TA,Gd,LwQ,347.7769148323159,Unf,3.0780473015886396,225.11943875348533,575.97440088739,GasA,Fa,Y,SBrkr,1291,1724,25,3040,0,0,1,1,2,1,Gd,7,Typ,0,Ex,BuiltIn,1955.0,RFn,2,151.8007486249259,Gd,Po,Y,133,122,27,0,10,263,NA,NA,NA,165,4,2010,COD,Abnorml,417909
30,180,RL,97.0,3386,Pave,NA,IR2,Lvl,AllPub,Inside,Gtl,Crawfor,Artery,Norm,1Fam,1.5Fin,3,6,1875,1962,Gable,CompShg,ImStucc,CBlock,BrkFace,38.47954538909034,Gd,Fa,PConc,Gd,Gd,Av,NA,,Unf,1.4473002595347297,132.09338041865246,424.35208276004505,OthW,Gd,Y,SBrkr,868,2000,145,3013,1,0,2,0,4,2,TA,5,Typ,0,Gd,2Types,,NA,1,145.91523992626352,NA,NA,Y,27,215,231,0,108,362,NA,NA,NA,130,9,2006,Oth,Abnorml,308760
31,50,RM,32.0,2631,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,RRNn,Norm,1Fam,2.5Fin,7,6,1951,1976,Hip,CompShg,HdBoard,HdBoard,None,135.53161624092178,Gd,Gd,CBlock,Gd,Gd,Gd,Unf,287.6844639918988,Unf,,391.6606436059871,683.6991507678164,GasA,Gd,Y,SBrkr,1768,1069,48,2885,0,0,1,0,3,2,TA,5,Min2,0,Gd,BuiltIn,1912.0,Fin,1,223.62798057841434,Po,Fa,Y,164,62,19,40,93,0,NA,NA,NA,20,1,2010,WD,Family,412870
32,50,RM,79.0,5192,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,RRNn,Norm,1Fam,2.5Unf,6,2,1915,1950,Gable,CompShg,ImStucc,ImStucc,BrkFace,223.07039935322268,Gd,TA,CBlock,TA,Gd,Av,ALQ,281.33864695473255,Unf,0.45417238198063403,221.84879292566393,503.6416122623771,GasA,Ex,Y,SBrkr,1652,1478,82,3212,0,0,2,0,3,1,Gd,4,Typ,1,NA,Detchd,1998.0,Fin,4,260.5340276598891,NA,TA,N,44,94,24,77,11,90,NA,GdPrv,NA,515,7,2009,WD,AdjLand,395256
33,50,RL,97.0,6940,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Timber,PosN,Norm,1Fam,SLvl,5,6,1902,1951,Gable,CompShg,CBlock,Wd Sdng,BrkFace,108.64541910932958,Gd,Gd,BrkTil,Fa,TA,Av,NA,921.5170286952338,Unf,2.347125205489229,627.2166735705692,1551.0808274712922,GasA,Ex,Y,SBrkr,1689,1165,36,2890,1,0,2,1,2,1,TA,5,Typ,1,TA,CarPort,2001.0,RFn,1,441.3841897662737,Gd,NA,Y,10,75,20,0,82,370,NA,NA,NA,2996,12,2009,COD,Family,377679
34,75,FV,153.0,3197,Pave,NA,IR2,Low,AllPub,Corner,Gtl,Somerst,RRAe,Norm,1Fam,1Story,7,5,1952,1985,Hip,CompShg,Wd Sdng,Stone,None,10.413905028634947,Gd,TA,BrkTil,TA,TA,No,ALQ,,Unf,3.820357426582032,157.70757631333763,989.7753174141371,GasA,Ex,Y,SBrkr,1077,399,82,1558,0,0,2,0,2,1,Gd,7,Min2,1,NA,Attchd,2006.0,RFn,1,223.21481928730486,Fa,Gd,Y,1500,50,28,0,0,173,NA,GdWo,NA,3141,3,2010,New,AdjLand,349624
35,40,RL,47.0,4464,Pave,NA,IR2,Lvl,AllPub,Corner,Gtl,Edwards,RRAe,Norm,1Fam,1.5Unf,8,6,1930,1951,Gable,CompShg,AsbShng,CemntBd,None,64.4034975360527,Gd,TA,CBlock,Fa,TA,Mn,Rec,95.05013754063617,Unf,27.890793464296404,200.3523671312844,323.293298136217,GasA,Gd,Y,SBrkr,1769,610,35,2414,1,0,1,1,3,1,TA,7,Typ,0,Fa,Detchd,,NA,2,130.38083048386417,Ex,NA,Y,47,23,30,87,0,176,NA,NA,NA,132,9,2008,COD,AdjLand,345699
36,40,RL,72.0,8776,Pave,NA,Reg,Lvl,AllPub,Inside,Mod,StoneBr,PosN,Norm,1Fam,1Story,6,4,1952,1991,Gambrel,WdShngl,WdShing,Stucco,None,482.6280290415126,TA,Gd,PConc,TA,TA,Mn,LwQ,143.27115339766857,Unf,1.3684867633168651,219.68311255802251,364.32275271900795,GasA,Gd,Y,Mix,1313,633,264,2210,0,0,1,0,1,1,Gd,6,Typ,0,Po,NA,,RFn,1,407.4585976078016,Ex,NA,Y,55,222,0,28,0,0,NA,NA,NA,827,2,2006,Con,AdjLand,363722
37,75,RM,39.0,3572,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,PosA,Norm,1Fam,1.5Fin,3,7,1979,1954,Gambrel,CompShg,CemntBd,Wd Sdng,None,52.03006601605552,TA,Gd,CBlock,Gd,Ex,Av,GLQ,914.6262282631272,Unf,9.571485880851673,151.09568843423386,1075.2934025782129,GasA,Gd,Y,SBrkr,1522,1212,19,2753,0,0,2,0,2,1,Fa,4,Typ,1,Gd,NA,,NA,2,65.96060220058403,TA,Po,Y,154,116,16,87,58,263,NA,NA,NA,0,6,2006,CWD,Family,357854
38,80,RL,82.0,9022,Pave,NA,IR3,Lvl,AllPub,Corner,Gtl,Crawfor,RRAe,Norm,1Fam,2Story,8,7,1924,1966,Gable,CompShg,BrkComm,BrkFace,None,70.92243080322748,TA,Gd,Slab,Gd,Gd,Av,NA,110.5557170358226,Unf,1.6085334044400368,158.16908188694606,270.3333323272087,GasA,Gd,Y,FuseA,2810,985,0,3795,1,0,3,0,4,2,TA,7,Typ,2,Ex,2Types,1927.0,Fin,3,276.360626759708,TA,NA,Y,91,273,53,0,0,0,NA,NA,NA,4725,5,2008,WD,Normal,485328
39,120,RL,109.0,10388,Pave,NA,IR3,Bnk,AllPub,Corner,Gtl,BrkSide,PosA,Norm,1Fam,2Story,9,5,1970,1951,Gable,CompShg,CBlock,MetalSd,BrkFace,2.0262363082857378,Gd,TA,CBlock,TA,Gd,Gd,ALQ,1560.2547883832883,ALQ,32.10071199026799,755.0064009382942,2347.3619013118505,GasA,Ex,Y,SBrkr,694,753,0,1447,1,0,2,0,3,1,TA,3,Min2,0,Gd,Attchd,,RFn,0,170.87021001852332,Ex,NA,Y,143,115,82,0,0,370,NA,MnPrv,NA,457,9,2008,CWD,AdjLand,388769
40,50,RL,39.0,3182,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,OldTown,PosN,Norm,1Fam,2.5Fin,6,7,1957,1971,Gable,CompShg,ImStucc,BrkFace,BrkFace,1183.1682068258758,Gd,Gd,BrkTil,Fa,TA,Mn,ALQ,63.185935965855805,Unf,336.2323292665439,355.6463517643588,755.0646169967586,GasA,Ex,N,SBrkr,1081,549,314,1944,0,0,1,0,3,1,Gd,5,Typ,0,TA,Attchd,,NA,2,196.80292765211675,Po,Po,Y,297,174,500,1,70,362,NA,NA,NA,425,3,2007,COD,AdjLand,334980
41,90,RM,66.0,3863,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,OldTown,RRNn,Norm,Duplex,2.5Unf,4,5,1889,1994,Gable,CompShg,BrkComm,Stone,BrkFace,75.19557974057759,Fa,Fa,PConc,Gd,Gd,Av,GLQ,722.9448857760317,Unf,11.287590930321768,323.32361895638206,1057.5560956627355,Grav,Gd,Y,SBrkr,2022,689,36,2747,0,0,1,0,2,2,Gd,5,Typ,0,Gd,CarPort,1997.0,RFn,2,195.0253887981287,NA,Fa,Y,52,21,99,0,75,28,NA,NA,NA,0,1,2010,ConLI,Alloca,313422
42,190,RL,121.0,7247,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,IDOTRR,Artery,Norm,1Fam,SLvl,4,7,1894,1955,Gable,CompShg,Stone,CBlock,Stone,28.981444566419867,Gd,Gd,CBlock,Gd,Gd,No,NA,228.6578712003405,Unf,3.108338393968917,96.8009509053998,328.56716049970925,GasA,TA,Y,SBrkr,689,1449,0,2138,0,0,2,0,3,2,TA,8,Typ,2,TA,Detchd,2008.0,Fin,1,398.8282156093627,NA,Gd,N,173,19,41,6,81,76,NA,NA,NA,238,7,2008,ConLD,Normal,287832
